,Query,Action
164,how much should i pay for attending the event,get_event_fees
165,how much does this cost,get_event_fees
166,how much money should i pay to attend this,get_event_fees
167,how much would it cost me to attend this event,get_event_fees
168,if i am not available on those dates later will i get my money back,is_refundable
169,can i get my money back if i decide to cancel later,is_refundable
170,will i get refunded if i cancel later,is_refundable
171,are the event fees refundable,is_refundable
172,if i choose to drop out later will i get my money back,is_refundable
173,can i get my money returned if i ca come,is_refundable
174,are there any discounts i can avail on the registration fee,get_discounts
175,any discounts available,get_discounts
176,are there any types of fee reductions we can avail,get_discounts
177,can i cancel and expect a refund,is_refundable
178,are there any discounts applicable for this event,get_discounts
179,where do i stay,show_accomodation
180,how do i pay,get_payment_method
181,i want to cancel my delegation,is_refundable
182,what are the last dates for registrations,get_registration_date
183,when do registrations begin,get_registration_date
184,when can i apply for this event,get_registration_date
185,are there any prizes for this,get_prizes
186,where am i traveling,get_location
187,what is my destination,get_location
188,how far is my destination,get_distance
189,what the entry fee,get_event_fees
190,will i get my money back if i cancel,is_refundable
191,it too costly is there anything i could do to reduce the amount,get_discounts
192,when is the last date for registration,get_registration_date
193,how can i pay,get_payment_method
194,will i win anything,get_prizes
195,when should i come,get_event_time
196,can i stay at my hostel,show_accomodation
197,can i increase my network,show_speakers
198,where is sandeep from,speaker_details_extra
199,what if i get hungry,show_food_arrangements
200,where is it,get_distance
201,what are the timings,show_schedule
202,where is it tho,get_location
203,can i get some discounts for the conference,get_discounts
204,what are some of the options where i can stay around,show_accomodation
205,what are some places to stay,show_accomodation
206,can i get a refund,is_refundable
207,show some places to eat around,show_food_arrangements
208,i am hungry,show_food_arrangements
209,best places to get food,show_food_arrangements
210,how much does the food cost,show_food_arrangements
211,what are the prizes,get_prizes
212,when does this start,get_event_time
213,can i speak to the speakers after the event,speaker_details_extra
214,can i pay lesser,get_discounts
215,what up with the stay for the speakers,show_accomodation
216,tell me how far is this event,get_distance
217,how am i supposed to pay for this,get_payment_method
218,location of the venue,get_location
219,registration fee,get_event_fees
220,what are my accommodations like,show_accomodation
221,what is the refund policy,is_refundable
222,are the rooms,show_accomodation
223,where is vellore exactly,get_location
224,what is the total amount i need to pay,get_event_fees
225,how much amount of the registration fees will be refunded,is_refundable
226,are there any discount codes,get_discounts
227,any discount coupons,get_discounts
228,when is the event starting,get_registration_date
229,can i pay by cash,get_payment_method
230,what is the reward for place,get_prizes
231,when does the event end,get_event_time
232,will i be provided accommodation,show_accomodation
233,is there a speaker from google,show_speakers
234,can i get more details of the event,speaker_details_extra
235,what will be provided for lunch,show_food_arrangements
236,how much for dinner,show_food_arrangements
237,how far is the event from chennai,get_distance
238,at what time will snacks be served,show_schedule
239,when s the last day of the event,get_event_date
240,what will i get if i win the event,get_prizes
241,do i get accommodation if i join itc,show_accomodation
242,where is the event,get_location
243,who else is going to be there,show_speakers
244,when is the itc starting,get_event_time
245,hey,greet
246,hello,greet
247,hi,greet
248,yo,greet
249,heyyy,greet
250,heyy,greet
251,heyyyyy,greet
252,hiii,greet
253,who is in charge,greet
254,who is,show_contact_info
255,whom can i contact,show_contact_info
256,hello what up,greet
257,what can you do,about_chatbot
258,what are you capable of,about_chatbot
259,what else can you do,about_chatbot
260,who are you,about_chatbot
261,who are you,about_chatbot
262,what is your purpose,about_chatbot
263,hello friend,greet
264,hello there,greet
265,hey,greet
266,hello,greet
267,hi,greet
268,yo,greet
269,heyyy,greet
270,heyy,greet
271,heyyyyy,greet
272,hiii,greet
273,who is in charge,greet
274,who is,show_contact_info
275,whom can i contact,show_contact_info
276,hello what up,greet
277,what can you do,about_chatbot
278,what are you capable of,about_chatbot
279,what else can you do,about_chatbot
280,who are you,about_chatbot
281,who are you,about_chatbot
282,what is your purpose,about_chatbot
283,hello friend,greet
284,hello there,greet
285,what time is this,get_event_time
286,when is this,get_event_date
287,do i get discounts,get_discounts
288,what will i win,get_prizes
289,what is up with the food,show_food_arrangements
290,what is happening on day,show_schedule
291,will spekaers come,show_speakers
292,what are you,about_chatbot
293,why are you,about_chatbot
294,tell me more about day x,show_schedule
295,who all are coming,show_speakers
296,where do i stay,show_accomodation
297,can you help me get a room,show_accomodation
298,what if i get hungry,show_food_arrangements
299,will you provide us with food,show_food_arrangements
300,i broke af,get_discounts
301,tell me more about the speakers,speaker_details_extra
302,who are the speakers,show_speakers
303,organiser details,show_contact_info
304,tell me what session is next,show_schedule
305,where is the accomodation,show_accomodation
306,whom can i contact,show_contact_info
307,who should i approach,show_contact_info
308,who is in charge,show_contact_info
309,who is the organizer,show_contact_info
310,who are the organizers,show_contact_info
311,who is responsible for this event,show_contact_info
312,if anything happens whom can i connect,show_contact_info
313,what do you do,about_chatbot
314,how far is the event,get_location
315,where is this happening,get_distance
316,what are your capabilities,about_chatbot
317,who made you,about_chatbot
318,hello my friend,greet
319,when is the date for registering,get_registration_date
320,i want entry at a lesser price,get_discounts
321,what is the last date for registering,get_registration_date
322,when is the event happening,get_event_date
323,what time is the event,get_event_time
324,event timings,get_event_time
325,when is the event,get_event_date
326,where can i stay,show_accomodation
327,where can the guests stay,show_accomodation
328,show me the schedule,show_schedule
329,what is the schedule,show_schedule
330,who is going to come,show_speakers
331,hello my friend,greet
332,i want my money back please,is_refundable
333,where are the guests staying,show_accomodation
334,when does the event start,get_event_time
335,when does the event end,get_event_time
336,what date is the event,get_event_date
337,let me know when the event starts,get_event_time
338,tell me the registration fees,get_event_fees
339,how much does it cost to register,get_event_fees
340,i want to know the cost of registration,get_event_fees
341,what are the registration charges,get_event_fees
342,cost for registration,get_event_fees
343,charges for registration,get_event_fees
344,cost of registration,get_event_fees
345,hey what is the cost for signing up,get_event_fees
346,how much is the amount for signing up,get_event_fees
347,i want to come for the event so how much does this cost,get_event_fees
348,what is the registration cost,get_event_fees
349,what are the charges for signing up,get_event_fees
350,what is the cost for registering,get_event_fees
351,how much should i pay for signing up,get_event_fees
352,what is the registration fees,get_event_fees
353,how much is the registration fees,get_event_fees
354,tell me the cost of signing up,get_event_fees
355,i want to know the price for the entry ticket,get_event_fees
356,how much shall i pay to enter this event,get_event_fees
357,what is the entry fee for this event,get_event_fees
358,is there any entry fee,get_event_fees
359,cost for entering this event,get_event_fees
360,any registration cost for this,get_event_fees
361,any entry fee for this,get_event_fees
362,what is the entry fee,get_event_fees
363,what is the ticket price,get_event_fees
364,i want to know the charges for entry,get_event_fees
365,tell me the entry cost,get_event_fees
366,will i get my money back if i cancel,is_refundable
367,can i have my money back,is_refundable
368,what is the refund policy,is_refundable
369,any refund policy,is_refundable
370,will you give me back my money,is_refundable
371,is there any way to get back my money,is_refundable
372,how can i get my money back,is_refundable
373,give me my money,is_refundable
374,i need a refund,is_refundable
375,i want a refund,is_refundable
376,please give me my money back,is_refundable
377,what is up with the refund policy,is_refundable
378,what if i want my money back,is_refundable
379,how do i get back my money,is_refundable
380,it is my money please give it back,is_refundable
381,im broke give me my money,is_refundable
382,process to get back my money,is_refundable
383,how can i get a refund,is_refundable
384,is there a speaker from google,show_speakers
385,tell me the registration date,get_event_date
386,when is the event,get_event_date
387,what date is it,get_event_date
388,when does it begin,get_event_date
389,when is it,get_event_date
390,i want to know the dates,get_event_date
391,what are the dates,get_event_date
392,event dates,get_event_date
393,date of begin,get_event_date
394,when is it starting,get_event_date
395,tell me when does this start,get_event_date
396,when does it end,get_event_date
397,date of start,get_event_date
398,dates,get_event_date
399,i wan na know the event dates,get_event_date
400,tell me the dates of this event,get_event_date
401,how many days is it,get_event_date
402,number of days,get_event_date
403,how many days is it,get_event_date
404,date of this event,get_event_date
405,date,get_event_date
406,when is this happening,get_event_date
407,what day is it happening,get_event_date
408,what day,get_event_date
409,what days,get_event_date
410,when,get_event_date
411,days of execution,get_event_date
412,event days,get_event_date
413,please tell me the dates of the event,get_event_date
414,what are the dates of this event,get_event_date
415,this event is happening on which days,get_event_date
416,this event is happening on which dates,get_event_date
417,date of registration,get_registration_date
418,when should i register,get_registration_date
419,date for signing up,get_registration_date
420,last day to sign up,get_registration_date
421,what date does the registration begin,get_registration_date
422,date at which the registration starts,get_registration_date
423,last day to register,get_registration_date
424,last day for paying,get_registration_date
425,last day to get entry,get_registration_date
426,when is the registration deadline,get_registration_date
427,by when can i register,get_registration_date
428,by when should i sign up,get_registration_date
429,registration deadline,get_registration_date
430,when does the registration start,get_registration_date
431,when should i pay,get_registration_date
432,has the registration started,get_registration_date
433,when will the registration start,get_registration_date
434,when can i pay,get_registration_date
435,by when can i pay,get_registration_date
436,deadline to pay,get_registration_date
437,final date for registering,get_registration_date
438,last date for applying,get_registration_date
439,last date for signing up,get_registration_date
440,final deadline to apply,get_registration_date
441,when can i apply,get_registration_date
442,by when can i apply,get_registration_date
443,by when should i apply,get_registration_date
444,does the event accept registrations,get_registration_date
445,how should i pay,get_payment_method
446,how can i pay,get_payment_method
447,methods for paying,get_payment_method
448,do you accept credit card,get_payment_method
449,online payment portal,get_payment_method
450,do you accept cash,get_payment_method
451,how can i pay for this,get_payment_method
452,how should i pay for entry,get_payment_method
453,show me the payment methods,get_payment_method
454,i want to know the payment methods,get_payment_method
455,i want to pay by card,get_payment_method
456,i want to pay by cash,get_payment_method
457,i want to pay by credit card,get_payment_method
458,will i be able to pay by card,get_payment_method
459,do you accept paytm,get_payment_method
460,do you accept tez,get_payment_method
461,can i pay through tez,get_payment_method
462,tell me the methods of paymenth,get_payment_method
463,how do you accept registrations,get_payment_method
464,what are the payment methods,get_payment_method
465,what are the ways i can pay,get_payment_method
466,take my money,get_payment_method
467,i want to sign up with cash,get_payment_method
468,what are the prizes,get_prizes
469,what are the awards,get_prizes
470,what will the winners take home,get_prizes
471,any goodies,get_prizes
472,any stickers,get_prizes
473,any swags,get_prizes
474,what are the goodies we get,get_prizes
475,winning prize,get_prizes
476,what is the winning prize,get_prizes
477,show me the discounts,get_discounts
478,give me entry for lesser price,get_discounts
479,i want a discount,get_discounts
480,can i pay lesser,get_discounts
481,how do i get a discount,get_discounts
482,i want to avail a discount,get_discounts
483,give me a discount,get_discounts
484,who is speaking at this event,show_speakers
485,any guests,show_speakers
486,who are the speakers,show_speakers
487,where are the speakers coming from,show_speakers
488,what are the names of the speakers,show_speakers
489,tell me about the speakers,show_speakers
490,who is giving a talk,show_speakers
491,any special guests,show_speakers
492,who is speaking on day,show_speakers
493,who is coming,show_speakers
494,anyone from google,show_speakers
495,tell me about the speakers,show_speakers
496,who are giving talks for the show,show_speakers
497,who is talking,show_speakers
498,show me the speakers,show_speakers
499,i want a list of all speakers,show_speakers
500,will i get food,show_food_arrangements
501,i want food,show_food_arrangements
502,what is up with the food,show_food_arrangements
503,show me the arrangements for food,show_food_arrangements
504,what arrangements have been made for food,show_food_arrangements
505,is there food from dominos,show_food_arrangements
506,where is the food from,show_food_arrangements
507,what meals will be served,show_food_arrangements
508,how do i get in touch with the organizers,show_contact_info
509,who can i contact,show_contact_info
510,show the contact details,show_contact_info
511,i want to connect to the organizers,show_contact_info
512,whom can i approach,show_contact_info
513,send me a contact number,show_contact_info
514,who organized this,show_contact_info
515,who are the organizers,show_contact_info
