,Unnamed: 0,Query,Action
324,324,due to unavoidable reasons i unable to attend the event will i get an discount,is_refundable
325,325,due to unavoidable reasons i unable to attend the event will i get an kickback,is_refundable
326,326,when is the limit to make the payment,get_registration_date
327,327,when is the period to make the payment,get_registration_date
328,328,when is the time limit to make the payment,get_registration_date
329,329,when is the deadline to make the amount,get_registration_date
330,330,when is the deadline to make the award,get_registration_date
331,331,when is the deadline to make the cash,get_registration_date
332,332,when is the deadline to make the deposit,get_registration_date
333,333,how much does it cost to registry for the event,get_event_fees
334,334,how much does it cost to roster for the event,get_event_fees
335,335,do you have any wired payment options for the event,get_payment_method
336,336,do you have any online amount options for the event,get_payment_method
337,337,do you have any online award options for the event,get_payment_method
338,338,do you have any online cash options for the event,get_payment_method
339,339,do you have any online deposit options for the event,get_payment_method
340,340,do you have any online payment benefit for the event,get_payment_method
341,341,do you have any online payment choice for the event,get_payment_method
342,342,do you have any online payment opportunity for the event,get_payment_method
343,343,do you have any online payment preference for the event,get_payment_method
344,344,when is the last day for amount,get_registration_date
345,345,when is the last day for award,get_registration_date
346,346,when is the last day for cash,get_registration_date
347,347,when is the last day for deposit,get_registration_date
348,348,can i pay over paytm or upi,get_payment_method
349,349,can i pay for an admission at the venue,get_payment_method
350,350,can i pay for an card at the venue,get_payment_method
351,351,can i pay for an certificate at the venue,get_payment_method
352,352,can i pay for an check at the venue,get_payment_method
353,353,what are the accolade up for grabs,get_prizes
354,354,what are the advantage up for grabs,get_prizes
355,355,what are the bonus up for grabs,get_prizes
356,356,what are the bounty up for grabs,get_prizes
357,357,can i abolish my registration after paying the fees,is_refundable
358,358,can i abort my registration after paying the fees,is_refundable
359,359,can i annul my registration after paying the fees,is_refundable
360,360,can i break off my registration after paying the fees,is_refundable
361,361,can i cancel my booking after paying the fees,is_refundable
362,362,can i cancel my certification after paying the fees,is_refundable
363,363,can i cancel my enrollment after paying the fees,is_refundable
364,364,can i cancel my filing after paying the fees,is_refundable
365,365,can i cancel my registration after compensate the fees,is_refundable
366,366,can i cancel my registration after disburse the fees,is_refundable
367,367,can i cancel my registration after extend the fees,is_refundable
368,368,can i cancel my registration after grant the fees,is_refundable
369,369,are there any aid or discounts,get_discounts
370,370,are there any asset or discounts,get_discounts
371,371,are there any assistance or discounts,get_discounts
372,372,are there any gain or discounts,get_discounts
373,373,are there any benefits or allowance,get_discounts
374,374,are there any benefits or concession,get_discounts
375,375,are there any benefits or decrease,get_discounts
376,376,are there any benefits or deduction,get_discounts
377,377,can i get an allowance if i ca make it,is_refundable
378,378,can i get an compensation if i ca make it,is_refundable
379,379,can i get an discount if i ca make it,is_refundable
380,380,can i get an kickback if i ca make it,is_refundable
381,381,do you allowance the payment,get_payment_method
382,382,do you compensation the payment,get_payment_method
383,383,do you discount the payment,get_payment_method
384,384,do you kickback the payment,get_payment_method
385,385,do you refund the amount,get_payment_method
386,386,do you refund the award,get_payment_method
387,387,do you refund the cash,get_payment_method
388,388,do you refund the deposit,get_payment_method
389,389,can i pay using debit cards what if my attention card is not international,get_payment_method
390,390,can i pay using debit cards what if my credit card is not foreign,get_payment_method
391,391,can i pay using debit cards what if my credit card is not global,get_payment_method
392,392,can i pay using debit cards what if my credit card is not universal,get_payment_method
393,393,what is the allowance policy,is_refundable
394,394,what is the compensation policy,is_refundable
395,395,what is the discount policy,is_refundable
396,396,what is the kickback policy,is_refundable
397,397,what is the refund action,is_refundable
398,398,what is the refund administration,is_refundable
399,399,what is the refund approach,is_refundable
400,400,what is the refund arrangement,is_refundable
401,401,what are the assorted payment methods,get_payment_method
402,402,what are the different payment methods,get_payment_method
403,403,what are the discrete payment methods,get_payment_method
404,404,what are the disparate payment methods,get_payment_method
405,405,what are the various amount methods,get_payment_method
406,406,what are the various award methods,get_payment_method
407,407,what are the various cash methods,get_payment_method
408,408,what are the various deposit methods,get_payment_method
409,409,what are the various payment approach,get_payment_method
410,410,what are the various payment arrangement,get_payment_method
411,411,what are the various payment design,get_payment_method
412,412,what are the various payment form,get_payment_method
413,413,can i have an allowance of my money,is_refundable
414,414,can i have an compensation of my money,is_refundable
415,415,can i have an discount of my money,is_refundable
416,416,can i have an kickback of my money,is_refundable
417,417,is on spot booking available,get_payment_method
418,418,is on spot certification available,get_payment_method
419,419,is on spot enrollment available,get_payment_method
420,420,is on spot filing available,get_payment_method
421,421,is on spot registration accessible,get_payment_method
422,422,is on spot registration applicable,get_payment_method
423,423,is on spot registration convenient,get_payment_method
424,424,is on spot registration feasible,get_payment_method
425,425,what all modes of amount are available,get_payment_method
426,426,what all modes of award are available,get_payment_method
427,427,what all modes of cash are available,get_payment_method
428,428,what all modes of deposit are available,get_payment_method
429,429,what all modes of payment are accessible,get_payment_method
430,430,what all modes of payment are applicable,get_payment_method
431,431,what all modes of payment are convenient,get_payment_method
432,432,what all modes of payment are feasible,get_payment_method
433,433,what is the agenda for date,show_schedule
434,434,what is the calendar for date,show_schedule
435,435,what is the chart for date,show_schedule
436,436,what is the itinerary for date,show_schedule
437,437,when is the event accident,get_event_date
438,438,when is the event adventure,get_event_date
439,439,when is the event circumstance,get_event_date
440,440,when is the event incident,get_event_date
441,441,what is accident at 4 on august 5,show_schedule
442,442,what is adventure at 4 on august 5,show_schedule
443,443,what is circumstance at 4 on august 5,show_schedule
444,444,what is incident at 4 on august 5,show_schedule
445,445,will there be crack in between technical session on day,show_schedule
446,446,will there be gap in between technical session on day,show_schedule
447,447,will there be hole in between technical session on day,show_schedule
448,448,will there be breaks in between session on day,show_schedule
449,449,will there be breaks in between industrial session on day,show_schedule
450,450,will there be breaks in between mechanical session on day,show_schedule
451,451,will there be breaks in between professional session on day,show_schedule
452,452,will there be breaks in between technical conference on day,show_schedule
453,453,will there be breaks in between technical discussion on day,show_schedule
454,454,will there be breaks in between technical hearing on day,show_schedule
455,455,will there be breaks in between technical period on day,show_schedule
456,456,what is accident on the second day,show_schedule
457,457,what is adventure on the second day,show_schedule
458,458,what is circumstance on the second day,show_schedule
459,459,what is incident on the second day,show_schedule
460,460,what accident are scheduled on august between 2 to 5,show_schedule
461,461,what act are scheduled on august between 2 to 5,show_schedule
462,462,what action are scheduled on august between 2 to 5,show_schedule
463,463,what affair are scheduled on august between 2 to 5,show_schedule
464,464,what events are anticipated on august between 2 to 5,show_schedule
465,465,what events are expected on august between 2 to 5,show_schedule
473,473,major accident on the first day,show_schedule
474,474,major act on the first day,show_schedule
475,475,major action on the first day,show_schedule
476,476,major affair on the first day,show_schedule
477,477,what is going to appear at on august,show_schedule
478,478,what is going to arise at on august,show_schedule
479,479,what is going to arrive at on august,show_schedule
480,480,what is going to crop up at on august,show_schedule
481,481,whats accident on july around,show_schedule
482,482,whats adventure on july around,show_schedule
483,483,whats circumstance on july around,show_schedule
484,484,whats incident on july around,show_schedule
485,485,whats happening on july about,show_schedule
486,486,whats happening on july everywhere,show_schedule
487,487,whats happening on july over,show_schedule
488,488,what is the agenda of the event,show_schedule
489,489,what is the calendar of the event,show_schedule
490,490,what is the chart of the event,show_schedule
491,491,what is the itinerary of the event,show_schedule
492,492,what are the accident on date or day,show_schedule
493,493,what are the act on date or day,show_schedule
494,494,what are the action on date or day,show_schedule
495,495,what are the affair on date or day,show_schedule
507,507,what accident are going to happen,get_event_date
508,508,what act are going to happen,get_event_date
509,509,what action are going to happen,get_event_date
510,510,what affair are going to happen,get_event_date
511,511,what events are going to appear,get_event_date
512,512,what events are going to arise,get_event_date
513,513,what events are going to arrive,get_event_date
514,514,what events are going to crop up,get_event_date
515,515,where can i find the guidebook,show_schedule
516,516,where can i find the journey,show_schedule
517,517,where can i find the path,show_schedule
518,518,where can i find the route,show_schedule
519,519,is there an arrangement available to meet the speakers after the event,speaker_details_extra
520,520,is there an plan available to meet the speakers after the event,speaker_details_extra
521,521,is there a provision accessible to meet the speakers after the event,speaker_details_extra
522,522,is there a provision applicable to meet the speakers after the event,speaker_details_extra
523,523,is there a provision convenient to meet the speakers after the event,speaker_details_extra
524,524,is there a provision feasible to meet the speakers after the event,speaker_details_extra
525,525,how many speakers are anticipated and will there be a q and a,show_speakers
526,526,how many speakers are expected and will there be a q and a,show_speakers
527,527,how many speakers are forthcoming and will there be a q and a,show_speakers
528,528,how many speakers are impending and will there be a q and a,show_speakers
529,529,is there an inquiry and answer session with the speakers,speaker_details_extra
530,530,is there an investigation and answer session with the speakers,speaker_details_extra
531,531,is there an query and answer session with the speakers,speaker_details_extra
532,532,is there an questioning and answer session with the speakers,speaker_details_extra
533,533,is there a question and comment session with the speakers,speaker_details_extra
534,534,is there a question and explanation session with the speakers,speaker_details_extra
535,535,is there a question and feedback session with the speakers,speaker_details_extra
536,536,is there a question and interpretation session with the speakers,speaker_details_extra
537,537,is there a question and answer conference with the speakers,speaker_details_extra
538,538,is there a question and answer discussion with the speakers,speaker_details_extra
539,539,is there a question and answer hearing with the speakers,speaker_details_extra
540,540,is there a question and answer period with the speakers,speaker_details_extra
541,541,who all are anticipated for panel discussions on what days are the best speakers coming,show_speakers
542,542,who all are expected for panel discussions on what days are the best speakers coming,show_speakers
543,543,who all are forthcoming for panel discussions on what days are the best speakers coming,show_speakers
544,544,who all are impending for panel discussions on what days are the best speakers coming,show_speakers
545,545,who all are coming for panel analysis on what days are the best speakers coming,show_speakers
546,546,who all are coming for panel argument on what days are the best speakers coming,show_speakers
547,547,who all are coming for panel conference on what days are the best speakers coming,show_speakers
548,548,who all are coming for panel consideration on what days are the best speakers coming,show_speakers
549,549,who all are going to speak in the accident,show_speakers
550,550,who all are going to speak in the act,show_speakers
551,551,who all are going to speak in the action,show_speakers
552,552,who all are going to speak in the affair,show_speakers
553,553,what speakers are anticipated in the event,show_speakers
554,554,what speakers are expected in the event,show_speakers
555,555,what speakers are forthcoming in the event,show_speakers
556,556,what speakers are impending in the event,show_speakers
557,557,can i have an intimate chat with them,speaker_details_extra
558,558,can i have an particular chat with them,speaker_details_extra
559,559,can i have an secret chat with them,speaker_details_extra
560,560,can i have an special chat with them,speaker_details_extra
561,561,do you add unsweetened drinks for diabetics,show_food_arrangements
562,562,do you administer unsweetened drinks for diabetics,show_food_arrangements
563,563,do you afford unsweetened drinks for diabetics,show_food_arrangements
564,564,do you arrange unsweetened drinks for diabetics,show_food_arrangements
565,565,do you provide harsh drinks for diabetics,show_food_arrangements
566,566,do you provide sour drinks for diabetics,show_food_arrangements
567,567,do you provide unsweetened alcohol for diabetics,show_food_arrangements
568,568,do you provide unsweetened booze for diabetics,show_food_arrangements
569,569,do you provide unsweetened brew for diabetics,show_food_arrangements
570,570,do you provide unsweetened cup for diabetics,show_food_arrangements
571,571,is food add for all the days till the event ends,show_food_arrangements
572,572,is food administer for all the days till the event ends,show_food_arrangements
573,573,is food afford for all the days till the event ends,show_food_arrangements
574,574,is food arrange for all the days till the event ends,show_food_arrangements
575,575,is food appreciative,show_food_arrangements
576,576,is food congratulatory,show_food_arrangements
577,577,is food polite,show_food_arrangements
578,578,is food respectful,show_food_arrangements
579,579,does the booking cost involve food,show_food_cost
580,580,does the certification cost involve food,show_food_cost
581,581,does the enrollment cost involve food,show_food_cost
582,582,does the filing cost involve food,show_food_cost
583,583,does the registration cost affect food,show_food_cost
584,584,does the registration cost associate food,show_food_cost
585,585,does the registration cost catch food,show_food_cost
586,586,does the registration cost commit food,show_food_cost
587,587,is the food absolute,show_food_arrangements
588,588,is the food boundless,show_food_arrangements
589,589,is the food endless,show_food_arrangements
590,590,is the food immeasurable,show_food_arrangements
591,591,is food add,show_food_arrangements
592,592,is food administer,show_food_arrangements
593,593,is food afford,show_food_arrangements
594,594,is food arrange,show_food_arrangements
595,595,any amount related to food,show_food_cost
596,596,any award related to food,show_food_cost
597,597,any cash related to food,show_food_cost
598,598,any deposit related to food,show_food_cost
599,599,any payments akin to food,show_food_cost
600,600,any payments analogous to food,show_food_cost
601,601,any payments associated to food,show_food_cost
602,602,any payments complementary to food,show_food_cost
603,603,is food add three times a day,show_schedule
604,604,is food administer three times a day,show_schedule
605,605,is food afford three times a day,show_schedule
606,606,is food arrange three times a day,show_schedule
607,607,will food and lunch be provided,show_food_arrangements
608,608,will food and morsel be provided,show_food_arrangements
609,609,will food and refreshment be provided,show_food_arrangements
610,610,will food and tea be provided,show_food_arrangements
611,611,will food and snacks be add,show_food_arrangements
612,612,will food and snacks be administer,show_food_arrangements
613,613,will food and snacks be afford,show_food_arrangements
614,614,will food and snacks be arrange,show_food_arrangements
615,615,is the food appreciative,show_food_arrangements
616,616,is the food congratulatory,show_food_arrangements
617,617,is the food polite,show_food_arrangements
618,618,is the food respectful,show_food_arrangements
619,619,will food be add,show_food_arrangements
620,620,will food be administer,show_food_arrangements
621,621,will food be afford,show_food_arrangements
622,622,will food be arrange,show_food_arrangements
623,623,are we going to have lunch crack during the event,show_schedule
624,624,are we going to have lunch gap during the event,show_schedule
625,625,are we going to have lunch hole during the event,show_schedule
626,626,can we bring in food from farther,show_food_arrangements
627,627,can we bring in food from foreign,show_food_arrangements
628,628,can we bring in food from out,show_food_arrangements
629,629,what kind of food will be add,show_food_arrangements
630,630,what kind of food will be administer,show_food_arrangements
631,631,what kind of food will be afford,show_food_arrangements
632,632,what kind of food will be arrange,show_food_arrangements
633,633,will stay be file,show_accomodation
634,634,will stay be form,show_accomodation
635,635,will stay be organize,show_accomodation
636,636,how far is the college from the hotel i will be continue at,show_accomodation_address
637,637,how far is the college from the hotel i will be delay at,show_accomodation_address
638,638,how far is the college from the hotel i will be hang at,show_accomodation_address
639,639,how far is the college from the hotel i will be last at,show_accomodation_address
640,640,how far away from the event is the accomodation file,show_accomodation_address
641,641,how far away from the event is the accomodation form,show_accomodation_address
642,642,how far away from the event is the accomodation organize,show_accomodation_address
643,643,is compromise only for participants or for their family too,show_accomodation
644,644,is reconciliation only for participants or for their family too,show_accomodation
645,645,is accommodation only for colleague or for their family too,show_accomodation
646,646,is accommodation only for member or for their family too,show_accomodation
647,647,is accommodation only for partner or for their family too,show_accomodation
648,648,is accommodation only for party or for their family too,show_accomodation
649,649,is accommodation only for participants or for their clan too,show_accomodation
650,650,is accommodation only for participants or for their folk too,show_accomodation
651,651,is accommodation only for participants or for their group too,show_accomodation
652,652,is accommodation only for participants or for their house too,show_accomodation
653,653,will you be file accommodation,show_accomodation
654,654,will you be form accommodation,show_accomodation
655,655,will you be organize accommodation,show_accomodation
656,656,will you be arranging compromise,show_accomodation
657,657,will you be arranging reconciliation,show_accomodation
658,658,does the compromise have ac,show_accomodation
659,659,does the reconciliation have ac,show_accomodation
660,660,how far is the compromise location from the event location,get_distance
661,661,how far is the reconciliation location from the event location,get_distance
662,662,how far is the accommodation area from the event location,get_distance
663,663,how far is the accommodation district from the event location,get_distance
664,664,how far is the accommodation locale from the event location,get_distance
665,665,how far is the accommodation neighborhood from the event location,get_distance
666,666,do i have to pay independently for accommodation,show_accomodation_price
667,667,do i have to pay personally for accommodation,show_accomodation_price
668,668,do i have to pay solely for accommodation,show_accomodation_price
669,669,do i have to pay separately for compromise,show_accomodation_price
670,670,do i have to pay separately for reconciliation,show_accomodation_price
671,671,how do i commute to the venue from my compromise,show_accomodation
672,672,how do i commute to the venue from my reconciliation,show_accomodation
